l5
l4
l3
l2
l1
th12
th11
th10
th9
th8
th7
th6
th5
th4
th3
th2
th1
crista_iliaca_gauche
crista_iliaca_droite
tuberosite_ischiatique_gauche
tuberosite_ischiatique_droit
extremite_sup_rein_gauche
extremite_inf_rein_gauche
extremite_sup_rein_droit
extremite_inf_rein_droit
sternoclavicule_gauche
sternoclavicule_droit
grand_trochanter_gauche
grand_trochanter_droit
petit_trochanter_gauche
petit_trochanter_droit
bifurcation_aortic
arc_aortic
valve_aortic
symphyse_pubienne
bifurcation_tracheal
bifurcation_vci
processus_xyphoide
sommet_poumon_gauche
sommet_poumon_droit
haut_diaphragme_poumon_gauche
haut_diaphragme_poumon_droit
incisure_supra_scapulaire_gauche
incisure_supra_scapulaire_droit
