l5    
l4    
l3    
l2    
l1    
th12  
th11  
th10  
th9   
th8   
th7   
th6   
th5   
th4   
th3   
th2   
th1   
ael5  
ael4  
ael3  
ael2  
ael1  
aeth12 
aeth11 
aeth10 
aeth9 
aeth8 
aeth7 
aeth6 
aeth5 
aeth4 
aeth3
aeth2
aeth1
ptg
ptd
tig
tid
ps
spig
spid
gtg
gtd
pacig
pacid
bvci
ba
cig
cid
pif
eirg
eird
esrg
esrd
sdpg
sdpd
ac
evisg
evisd
px
bt
aa
scg
scd
spg
spd
issg
issd
